age,dc_key,dispatch_date_time,geometry,hispanic,location_block,neighborhood,police_district,race,sex,time_offset,weapon,year,zip_code
33,201524102694,2015-11-06 22:00:00+00:00,POINT (2707531.244814645 249132.2189271439),1,2300 BLOCK E ANN ST,Richmond,24.0,Black,Male,310773600.0,firearm,2015,19134.0
32,201509047342,2015-11-06 15:00:00+00:00,POINT (2686315.395177965 242680.3797335125),1,800 BLOCK LEMON HILL DR,East Park,9.0,White,Female,310748400.0,firearm,2015,19130.0
25,201509047293,2015-11-06 15:00:00+00:00,POINT (2686315.395177965 242680.3797335125),0,800 BLOCK LEMON HILL DR,East Park,9.0,Black,Male,310748400.0,firearm,2015,19130.0
29,201519111878,2015-11-03 14:00:00+00:00,POINT (2674743.80938479 241147.3991718877),0,400 BLOCK N 55TH ST,Haddington,19.0,Black,Male,310485600.0,firearm,2015,19139.0
21,201508041799,2015-11-02 21:00:00+00:00,POINT (2742174.010605796 283446.087516713),0,10800 BLOCK KESWICK RD,Modena,8.0,Black,Male,310424400.0,firearm,2015,19154.0
68,201514089392,2015-11-01 21:00:00+00:00,POINT (2693822.344279403 270596.6447635893),0,5500 BLOCK SPRAGUE ST,East Germantown,14.0,Black,Male,310338000.0,firearm,2015,19138.0
41,201535095602,2015-11-01 19:00:00+00:00,POINT (2699524.502935009 265593.0159732851),0,5200 BLOCK N 10TH ST,Logan,35.0,Black,Male,310330800.0,firearm,2015,19141.0
16,201522098369,2015-11-01 17:00:00+00:00,POINT (2691769.282008625 250706.8317926081),0,2200 BLOCK W SEDGLEY AVE,Strawberry Mansion,22.0,Black,Male,310323600.0,firearm,2015,19132.0
26,201539087874,2015-10-31 23:00:00+00:00,POINT (2695468.887111276 260511.8148054219),0,4300 BLOCK N 17TH ST,Nicetown,39.0,Black,Female,310258800.0,firearm,2015,19140.0
45,201516048412,2015-10-31 23:00:00+00:00,POINT (2676861.7350812 240772.4937389039),0,5100 BLOCK RENO ST,Mill Creek,16.0,Black,Male,310258800.0,firearm,2015,19139.0
18,201515106345,2015-10-29 01:00:00+00:00,POINT (2714520.594793875 257207.4181139522),0,4200 BLOCK TACKAWANNA ST,Frankford,15.0,Black,Male,310006800.0,firearm,2015,19124.0
28,201522096126,2015-10-26 02:00:00+00:00,POINT (2689378.475803064 251470.5635443286),0,2500 BLOCK N MARSTON ST,Strawberry Mansion,22.0,Black,Male,309751200.0,firearm,2015,19132.0
20,201525087506,2015-10-23 18:00:00+00:00,POINT (2703238.723819116 253748.2468704109),0,3300 BLOCK A ST,Upper Kensington,25.0,Black,Male,309549600.0,firearm,2015,19134.0
25,201524102076,2015-10-22 13:00:00+00:00,POINT (2704735.688585605 251767.0129422929),0,500 BLOCK E INDIANA AVE,Upper Kensington,24.0,Black,Male,309445200.0,firearm,2015,19134.0
22,201525083845,2015-10-22 03:00:00+00:00,POINT (2701060.647465443 261204.7344452191),1,4500 BLOCK N 05TH ST,Hunting Park,25.0,White,Male,309409200.0,hands,2015,19140.0
30,201514081088,2015-10-22 02:00:00+00:00,POINT (2691153.035345683 268612.5631680363),0,500 BLOCK E CHELTEN AVE,East Germantown,14.0,Black,Male,309405600.0,firearm,2015,19144.0
24,201515103828,2015-10-21 21:00:00+00:00,POINT (2726552.840043935 266281.3265957131),0,PRINCETON AV / WALKER ST,Tacony,15.0,Black,Male,309387600.0,firearm,2015,19135.0
34,201515103222,2015-10-20 11:00:00+00:00,POINT (2719827.334613222 262648.0481771847),0,5800 BLOCK CHARLES ST,Wissinoming,15.0,Black,Male,309265200.0,firearm,2015,19135.0
28,201535091299,2015-10-20 03:00:00+00:00,POINT (2700088.533707268 273752.7651824541),0,6700 BLOCK N 11TH ST,East Oak Lane,35.0,Black,Male,309236400.0,firearm,2015,19126.0
19,201518070110,2015-10-18 15:00:00+00:00,POINT (2676595.267103336 236787.1976982198),0,5100 BLOCK LOCUST ST,Walnut Hill,18.0,Black,Male,309106800.0,firearm,2015,19139.0
30,201535090650,2015-10-17 23:00:00+00:00,POINT (2698265.954993888 264620.8738197004),0,5100 BLOCK N CAMAC ST,Logan,35.0,Black,Male,309049200.0,firearm,2015,19141.0
43,201512082081,2015-10-17 20:00:00+00:00,POINT (2671082.778296733 223718.2957525996),0,7100 BLOCK GREENWAY AVE,Paschall,12.0,Black,Male,309038400.0,firearm,2015,19142.0
19,201503063756,2015-10-14 22:00:00+00:00,POINT (2695589.15547597 223998.8361558016),0,2400 BLOCK S MARSHALL ST 0 RITNER ST,Lower Moyamensing,3.0,Black,Male,308786400.0,firearm,2015,19148.0
50,201512080581,2015-10-13 23:00:00+00:00,POINT (2676227.408784671 232090.8058267187),0,1100 BLOCK S RUBY ST,Kingsessing,12.0,Black,Male,308703600.0,firearm,2015,19143.0
14,201526053842,2015-10-13 21:00:00+00:00,POINT (2696502.838241728 243433.5059913109),0,1200 BLOCK N 10TH ST,Yorktown,26.0,Black,Male,308696400.0,firearm,2015,19122.0
38,201525084519,2015-10-13 16:00:00+00:00,POINT (2704259.689355627 252390.7092235763),1,W CLEARFIELD ST / N 04TH ST,Upper Kensington,24.0,White,Male,308678400.0,firearm,2015,19134.0
29,201525083842,2015-10-11 02:00:00+00:00,POINT (2696740.971190273 256897.4047080576),0,3700 BLOCK N PARK AVE,Franklinville,25.0,Black,Male,308455200.0,firearm,2015,19140.0
17,201525082235,2015-10-07 02:00:00+00:00,POINT (2698272.209738594 251181.1297040472),1,2700 BLOCK N 08TH ST,Hartranft,25.0,Black,Male,308109600.0,firearm,2015,19133.0
22,201535086633,2015-10-06 03:00:00+00:00,POINT (2697589.914085506 261316.2808554023),0,1300 BLOCK W WINGOHOCKING ST,Logan,35.0,Black,Male,308026800.0,firearm,2015,19140.0
25,201525082233,2015-10-06 02:00:00+00:00,POINT (2698272.209738594 251181.1297040472),0,2700 BLOCK N 08TH ST,Hartranft,25.0,Black,Male,308023200.0,firearm,2015,19133.0
22,201522088571,2015-10-04 02:00:00+00:00,POINT (2688694.722006659 251109.733762042),0,2400 BLOCK N 29TH ST,Strawberry Mansion,22.0,Black,Male,307850400.0,firearm,2015,19132.0
23,201522088548,2015-10-04 01:00:00+00:00,POINT (2688694.722006659 251109.733762042),0,2400 BLOCK N 29TH ST,Strawberry Mansion,22.0,Black,Male,307846800.0,firearm,2015,19132.0
